"","N_Ag_GS","Names_GS","Schoenflies.symbol_GS","Schoenflies.symbol_GS_T","EEFinal_GS","N_Ag_SYM","Names_SYM","Schoenflies.symbol_SYM","Schoenflies.symbol_SYM_T","EEFinal_SYM","Difference"
"1",0,"Ag_00_Au_13_BBP_config_301_LE.xyz","C2v","C2v",0,0,"Ag_00_Au_13_BBP_config_301_LE.xyz","C2v","C2v",0,0
"2",1,"Ag_01_Au_12_BBP_config_304_LE.xyz","NO","C2v",-0.656,1,"Ag_01_Au_12_BBP_config_301.xyz","C2v","C2v",-0.486,0.17
"3",2,"Ag_02_Au_11_BBP_config_309_LE.xyz","NO","NO",-0.9738,2,"Ag_02_Au_11_BBP_config_312.xyz","Cs","C2",-0.8567,0.1171
"4",3,"Ag_03_Au_10_BBP_config_335_LE.xyz","NO","C2v",-1.3143,3,"Ag_03_Au_10_BBP_config_334.xyz","Cs","C2v",-1.1488,0.1655
"5",4,"Ag_04_Au_09_BBP_config_366_LE.xyz","NO","NO",-1.5534,4,"Ag_04_Au_09_BBP_config_463.xyz","C2","C2v",-1.2388,0.3146
"6",5,"Ag_05_Au_08_BBP_config_452_LE.xyz","NO","NO",-1.6902,5,"Ag_05_Au_08_BBP_config_406.xyz","C2","C2",-1.4116,0.2786
"7",6,"Ag_06_Au_07_BBP_config_451_LE.xyz","NO","NO",-1.6357,6,"Ag_06_Au_07_BBP_config_739.xyz","C2","C2v",-1.5628,0.0729
"8",7,"Ag_07_Au_06_BBP_config_542_LE.xyz","C2","C2",-1.8192,7,"Ag_07_Au_06_BBP_config_542_LE.xyz","C2","C2",-1.8192,0
"9",8,"Ag_08_Au_05_BBP_config_568_LE.xyz","NO","C2",-1.5341,8,"Ag_08_Au_05_BBP_config_548.xyz","Cs","C2v",-1.3354,0.1987
"10",9,"Ag_09_Au_04_BBP_config_485_LE.xyz","NO","C2",-1.3668,9,"Ag_09_Au_04_BBP_config_460.xyz","Cs","C2v",-1.1532,0.2136
"11",10,"Ag_10_Au_03_BBP_config_368_LE.xyz","NO","C2",-1.0872,10,"Ag_10_Au_03_BBP_config_334.xyz","Cs","Cs",-0.9147,0.1725
"12",11,"Ag_11_Au_02_BBP_config_312_LE.xyz","Cs","Cs",-0.7693,11,"Ag_11_Au_02_BBP_config_312_LE.xyz","Cs","Cs",-0.7693,0
"13",12,"Ag_12_Au_01_BBP_config_303_LE.xyz","NO","NO",-0.3689,12,"Ag_12_Au_01_BBP_config_305.xyz","Cs","C2v",-0.2765,0.0924
"14",13,"Ag_13_Au_00_BBP_config_301_LE.xyz","C2v","C2v",0,13,"Ag_13_Au_00_BBP_config_301_LE.xyz","C2v","C2v",0,0
"","N_Ag_GS","Names_GS","Schoenflies.symbol_GS","Schoenflies.symbol_GS_T","EEFinal_GS","N_Ag_SYM","Names_SYM","Schoenflies.symbol_SYM","Schoenflies.symbol_SYM_T","EEFinal_SYM","Difference"
"1",0,"cubo_Ag_00_Au_13_distorted","Oh","Oh",0,0,"cubo_Ag_00_Au_13_distorted","Oh","Oh",0,0
"2",1,"cubo_Ag_01_Au_12_distorted","C2v","Oh",-0.584961,1,"cubo_Ag_01_Au_12_distorted","C2v","Oh",-0.584961,0
"3",2,"cubo_Ag_02_Au_11_config_301","C2v","Oh",-0.880302,2,"cubo_Ag_02_Au_11_config_301","C2v","Oh",-0.880302,0
"4",3,"cubo_Ag_03_Au_10_config_312","NO","Cs",-1.197222,3,"cubo_Ag_03_Au_10_config_304","D2h","Oh",-1.194342,0.00287999999999999
"5",4,"cubo_Ag_04_Au_09_config_302","NO","NO",-1.805303,4,"cubo_Ag_04_Au_09_config_308","C2v","Oh",-1.368363,0.43694
"6",5,"cubo_Ag_05_Au_08_config_318","D4h","Oh",-1.610964,5,"cubo_Ag_05_Au_08_config_318","D4h","Oh",-1.610964,0
"7",6,"cubo_Ag_06_Au_07_config_323","C2","Oh",-1.521425,6,"cubo_Ag_06_Au_07_config_323","C2","Oh",-1.521425,0
"8",7,"cubo_Ag_07_Au_06_config_321","NO","C2",-2.337885,7,"cubo_Ag_07_Au_06_config_351","C2h","Oh",-1.533155,0.80473
"9",8,"cubo_Ag_08_Au_05_config_305","NO","NO",-1.831636,8,"cubo_Ag_08_Au_05_config_333","Cs","Oh",-1.378666,0.45297
"10",9,"cubo_Ag_09_Au_04_config_316","NO","NO",-1.344137,9,"cubo_Ag_09_Au_04_config_325","C2h","Oh",-1.275977,0.06816
"11",10,"cubo_Ag_10_Au_03_config_310","NO","Oh",-1.011298,10,"cubo_Ag_10_Au_03_config_311","Cs","Oh",-0.987438,0.02386
"12",11,"cubo_Ag_11_Au_02_config_304","C2","Oh",-0.724038,11,"cubo_Ag_11_Au_02_config_304","C2","Oh",-0.724038,0
"13",12,"cubo_Ag_12_Au_01_config_302","Cs","Oh",-0.373039,12,"cubo_Ag_12_Au_01_config_302","Cs","Oh",-0.373039,0
"14",13,"cubo_Ag_13_Au_00_distorted","Oh","Oh",0,13,"cubo_Ag_13_Au_00_distorted","Oh","Oh",0,0
"","N_Ag_GS","Names_GS","Schoenflies.symbol_GS","Schoenflies.symbol_GS_T","EEFinal_GS","N_Ag_SYM","Names_SYM","Schoenflies.symbol_SYM","Schoenflies.symbol_SYM_T","EEFinal_SYM","Difference"
"1",0,"deca_Ag_00_Au_13_config_301","D5h","D5h",0,0,"deca_Ag_00_Au_13_config_301","D5h","D5h",0,0
"2",1,"deca_Ag_01_Au_12_config_301","NO","NO",-2.326469,1,"deca_Ag_01_Au_12_config_302","D5h","D5h",-0.536219,1.79025
"3",2,"deca_Ag_02_Au_11_config_304","NO","NO",-2.493168,2,"deca_Ag_02_Au_11_config_307","C2v","C2v",-2.358288,0.13488
"4",3,"deca_Ag_03_Au_10_config_313","NO","C2",-2.756968,3,"deca_Ag_03_Au_10_config_306","Cs","Cs",-2.683568,0.0733999999999999
"5",4,"deca_Ag_04_Au_09_config_330","NO","NO",-2.921497,4,"deca_Ag_04_Au_09_config_350","Cs","C3v",-2.662007,0.25949
"6",5,"deca_Ag_05_Au_08_config_327","NO","C2v",-3.215086,5,"deca_Ag_05_Au_08_config_345","Cs","C3v",-2.866966,0.34812
"7",6,"deca_Ag_06_Au_07_config_405","NO","Cs",-3.028555,6,"deca_Ag_06_Au_07_config_327","Cs","Cs",-3.017615,0.0109399999999997
"8",7,"deca_Ag_07_Au_06_config_381","Cs","Cs",-2.909705,7,"deca_Ag_07_Au_06_config_381","Cs","Cs",-2.909705,0
"9",8,"deca_Ag_08_Au_05_config_378","NO","C2",-2.918084,8,"deca_Ag_08_Au_05_config_362","Cs","Cs",-2.641914,0.27617
"10",9,"deca_Ag_09_Au_04_config_308","NO","C2",-2.653883,9,"deca_Ag_09_Au_04_config_334","Cs","C2v",-2.411083,0.2428
"11",10,"deca_Ag_10_Au_03_config_315","C2","C2",-2.339232,10,"deca_Ag_10_Au_03_config_315","C2","C2",-2.339232,0
"12",11,"deca_Ag_11_Au_02_config_306","Cs","Cs",-1.314572,11,"deca_Ag_11_Au_02_config_306","Cs","Cs",-1.314572,0
"13",12,"deca_Ag_12_Au_01_config_303","NO","NO",-1.182971,12,"deca_Ag_12_Au_01_config_301","C5v","D5h",-0.265881,0.91709
"14",13,"deca_Ag_13_Au_00_config_301","D5h","D5h",0,13,"deca_Ag_13_Au_00_config_301","D5h","D5h",0,0
"","N_Ag_GS","Names_GS","Schoenflies.symbol_GS","Schoenflies.symbol_GS_T","EEFinal_GS","N_Ag_SYM","Names_SYM","Schoenflies.symbol_SYM","Schoenflies.symbol_SYM_T","EEFinal_SYM","Difference"
"1",0,"Ico_Ag00_Au13","Ih","Ih",0,0,"Ico_Ag00_Au13","Ih","Ih",0,0
"2",1,"Ag_01_ICO_AuIco12_Ag1_face","C2v","Ih",-1.106021,1,"Ag_01_ICO_AuIco12_Ag1_face","C2v","Ih",-1.106021,0
"3",2,"Ag_02_ICO_AuIco11_Ag2_face_bottom","NO","NO",-2.299782,2,"Ag_02_ICO_AuIco11_Ag2_face_center","C2v","Ih",-1.590387,0.709395
"4",3,"Ag_03_ICO_Au_10_Ico13_config.308","C3v","C2v",-2.714305,3,"Ag_03_ICO_Au_10_Ico13_config.308","C3v","C2v",-2.714305,0
"5",4,"Ag_04_ICO_Au_09_Ico13_config.310","Cs","Cs",-2.662113,4,"Ag_04_ICO_Au_09_Ico13_config.310","Cs","Cs",-2.662113,0
"6",5,"Ag_05_ICO_AuIco8_Ag5_4face_center","Cs","Cs",-2.692929,5,"Ag_05_ICO_AuIco8_Ag5_4face_center","Cs","Cs",-2.692929,0
"7",6,"Ag_06_ICO_Au_07_Ico13_config.325","NO","C3v",-2.568372,6,"Ag_06_ICO_Au_07_Ico13_config.318","Cs","NO",-2.564447,0.00392500000000018
"8",7,"Ag_07_ICO_Ag_07_Ico13_config.320","C2v","C2v",-2.425267,7,"Ag_07_ICO_Ag_07_Ico13_config.320","C2v","C2v",-2.425267,0
"9",8,"Ag_08_ICO_AgIco8_Au5_3face_top_bottom","NO","NO",-2.101262,8,"Ag_08_ICO_Ag_08_Ico13_config.319","Cs","Ih",-1.541682,0.55958
"10",9,"Ag_09_ICO_AgIco9_Au4_2face_2face2","Cs","C2v",-1.663918,9,"Ag_09_ICO_AgIco9_Au4_2face_2face2","Cs","C2v",-1.663918,0
"11",10,"Ag_10_ICO_AgIco10_Au3_top_face_bottom","Cs","Ih",-1.13366,10,"Ag_10_ICO_AgIco10_Au3_top_face_bottom","Cs","Ih",-1.13366,0
"12",11,"Ag_11_ICO_AgIco11_Au2_top_bottom","D5d","Ih",-0.80514,11,"Ag_11_ICO_AgIco11_Au2_top_bottom","D5d","Ih",-0.80514,0
"13",12,"Ag_12_ICO_AgIco12_Au1_face","C5v","Ih",-0.314328,12,"Ag_12_ICO_AgIco12_Au1_face","C5v","Ih",-0.314328,0
"14",13,"Ico_Ag13_Au00","Ih","Ih",0,13,"Ico_Ag13_Au00","Ih","Ih",0,0
